huc08,huc08_name,huc06_name,huc04_name,huc02_name,huc08_states,huc08_areasqkm
3150202,Cahaba,Alabama,Alabama,South Atlantic-Gulf Region,AL,4723.87
3150203,Middle Alabama,Alabama,Alabama,South Atlantic-Gulf Region,AL,5774.78
3150204,Lower Alabama,Alabama,Alabama,South Atlantic-Gulf Region,AL,3766.23
3160101,Upper Tombigbee,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",4654.27
3160102,Town,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,MS,1769.52
3160103,Buttahatchee,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",2239.52
3160104,Tibbee,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,MS,2893.83
3160105,Luxapallila,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",2069.63
3160106,Middle Tombigbee-Lubbub,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",4224.17
3160107,Sipsey,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,2039.9
3160108,Noxubee,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",3673.4
3160109,Mulberry,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,3554.06
3160110,Sipsey Fork,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,2581.43
3160111,Locust,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,3134.83
3160112,Upper Black Warrior,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,3226.44
3160113,Lower Black Warrior,Black Warrior-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,3763.43
3160201,Middle Tombigbee-Chickasaw,Mobile Bay-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",5388.83
3160202,Sucarnoochee,Mobile Bay-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,"AL,MS",2522.31
3160203,Lower Tombigbee,Mobile Bay-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,4175.47
3160204,Mobile-Tensaw,Mobile Bay-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,2364.75
3160205,Mobile Bay,Mobile Bay-Tombigbee,Mobile-Tombigbee,South Atlantic-Gulf Region,AL,2261.09
3170001,Chunky-Okatibbee,Pascagoula,Pascagoula,South Atlantic-Gulf Region,MS,2351.67
3170002,Upper Chickasawhay,Pascagoula,Pascagoula,South Atlantic-Gulf Region,"AL,MS",3745.75
3170003,Lower Chickasawhay,Pascagoula,Pascagoula,South Atlantic-Gulf Region,"AL,MS",1720.97
3170004,Upper Leaf,Pascagoula,Pascagoula,South Atlantic-Gulf Region,MS,4540.54
3170005,Lower Leaf,Pascagoula,Pascagoula,South Atlantic-Gulf Region,MS,4726.87
3170006,Pascagoula,Pascagoula,Pascagoula,South Atlantic-Gulf Region,MS,1580.6
3170007,Black,Pascagoula,Pascagoula,South Atlantic-Gulf Region,MS,3282.26
3170008,Escatawpa,Pascagoula,Pascagoula,South Atlantic-Gulf Region,"AL,MS",2704.75
3170009,Mississippi Coastal,Pascagoula,Pascagoula,South Atlantic-Gulf Region,"AL,LA,MS",7371.28
3180001,Upper Pearl,Pearl,Pearl,South Atlantic-Gulf Region,MS,6379.82
3180002,Middle Pearl-Strong,Pearl,Pearl,South Atlantic-Gulf Region,MS,5120.22
3180003,Middle Pearl-Silver,Pearl,Pearl,South Atlantic-Gulf Region,MS,3156.24
3180004,Lower Pearl,Pearl,Pearl,South Atlantic-Gulf Region,"LA,MS",4714.08
3180005,Bogue Chitto,Pearl,Pearl,South Atlantic-Gulf Region,"LA,MS",3130.53
4010101,Baptism-Brule,Northwestern Lake Superior,Western Lake Superior,Great Lakes Region,"CN,MN",5801.93
4010102,Beaver-Lester,Northwestern Lake Superior,Western Lake Superior,Great Lakes Region,MN,1590.16
4010201,St. Louis,St. Louis,Western Lake Superior,Great Lakes Region,"MN,WI",7602.12
4010202,Cloquet,St. Louis,Western Lake Superior,Great Lakes Region,MN,2055.42
4010301,Beartrap-Nemadji,Southwestern Lake Superior,Western Lake Superior,Great Lakes Region,"MN,WI",4772.39
4010302,Bad-Montreal,Southwestern Lake Superior,Western Lake Superior,Great Lakes Region,"MI,WI",3370.65
4020101,Black-Presque Isle,Southcentral Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,"MI,WI",2619.4
4020102,Ontonagon,Southcentral Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,"MI,WI",3595.84
4020103,Keweenaw Peninsula,Southcentral Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,2828.91
4020104,Sturgeon,Southcentral Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,1891.23
4020105,Dead-Kelsey,Southcentral Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,2354.47
4020201,Betsy-Chocolay,Southeastern Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,2979.45
4020202,Tahquamenon,Southeastern Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,2097.15
4020203,Waiska,Southeastern Lake Superior,Southern Lake Superior-Lake Superior,Great Lakes Region,MI,277.41
4030101,Manitowoc-Sheboygan,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,WI,4221.85
4030102,Door-Kewaunee,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,WI,1930.96
4030103,Duck-Pensaukee,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,WI,862.01
4030104,Oconto,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,WI,2488.71
4030105,Peshtigo,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,WI,3158.35
4030106,Brule,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,"MI,WI",2724.63
4030107,Michigamme,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,1875.47
4030108,Menominee,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,"MI,WI",5938.62
4030109,Cedar-Ford,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,2639.77
4030110,Escanaba,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,2402.42
4030111,Tacoosh-Whitefish,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,1663.49
4030112,Fishdam-Sturgeon,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,1503.03
4030113,Manistique River,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,3812.23
4030114,Millecoquins Lake-Brevoort River,Northwestern Lake Michigan,Northwestern Lake Michigan,Great Lakes Region,MI,1431.02
4030201,Upper Fox,Fox,Northwestern Lake Michigan,Great Lakes Region,WI,4196.28
4030202,Wolf,Fox,Northwestern Lake Michigan,Great Lakes Region,WI,9650.08
4030203,Lake Winnebago,Fox,Northwestern Lake Michigan,Great Lakes Region,WI,1482.29
4030204,Lower Fox,Fox,Northwestern Lake Michigan,Great Lakes Region,WI,1677.96
4040001,Little Calumet-Galien,Southwestern Lake Michigan,Southwestern Lake Michigan,Great Lakes Region,"IL,IN,MI",1903.21
4040002,Pike-Root,Southwestern Lake Michigan,Southwestern Lake Michigan,Great Lakes Region,"IL,WI",1082.93
4040003,Milwaukee,Southwestern Lake Michigan,Southwestern Lake Michigan,Great Lakes Region,WI,2276.45
4050001,St. Joseph,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,"IN,MI",12208.69
4050002,Black-Macatawa,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,1574.9
4050003,Kalamazoo,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,5261.71
4050004,Upper Grand,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,4558.7
4050005,Maple,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,2449.62
4050006,Lower Grand,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,5235.98
4050007,Thornapple,Southeastern Lake Michigan,Southeastern Lake Michigan,Great Lakes Region,MI,2199.0
4060101,Pere Marquette-White,Northeastern Lake Michigan,Northeastern Lake Michigan-Lake Michigan,Great Lakes Region,MI,5394.88
4060102,Muskegon,Northeastern Lake Michigan,Northeastern Lake Michigan-Lake Michigan,Great Lakes Region,MI,7062.02
4060103,Manistee,Northeastern Lake Michigan,Northeastern Lake Michigan-Lake Michigan,Great Lakes Region,MI,5049.99
4060104,Betsie-Platte,Northeastern Lake Michigan,Northeastern Lake Michigan-Lake Michigan,Great Lakes Region,MI,2061.33
4060105,Boardman-Charlevoix,Northeastern Lake Michigan,Northeastern Lake Michigan-Lake Michigan,Great Lakes Region,MI,4321.07
4070003,Lone Lake-Ocqueoc,Northwestern Lake Huron,Northwestern Lake Huron,Great Lakes Region,MI,2060.7
4070004,Cheboygan,Northwestern Lake Huron,Northwestern Lake Huron,Great Lakes Region,MI,2315.59
4070005,Black,Northwestern Lake Huron,Northwestern Lake Huron,Great Lakes Region,MI,1554.01
4070006,Thunder Bay,Northwestern Lake Huron,Northwestern Lake Huron,Great Lakes Region,MI,3238.13
4070007,Au Sable,Northwestern Lake Huron,Northwestern Lake Huron,Great Lakes Region,MI,5305.65
4080101,Au Gres-Rifle,Southwestern Lake Huron,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,2639.66
4080102,Kawkawlin-Pine,Southwestern Lake Huron,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,1250.85
4080103,Pigeon-Wiscoggin,Southwestern Lake Huron,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,2310.57
4080104,Birch-Willow,Southwestern Lake Huron,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,1333.13
4080201,Tittabawassee,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,3748.87
4080202,Pine,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,2656.32
4080203,Shiawassee,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,3278.14
4080204,Flint,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,3446.25
4080205,Cass,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,2351.37
4080206,Saginaw,Saginaw,Southwestern Lake Huron-Lake Huron,Great Lakes Region,MI,650.63
4090001,St. Clair,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,"CN,MI",3276.17
4090002,Lake St. Clair,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,"CN,MI",5806.87
4090003,Clinton,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,MI,2064.16
4090004,Detroit,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,"CN,MI",2303.6
4090006,Upper Thames River,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,CN,3053.720762
4090007,Lower Thames River,St. Clair-Detroit,St. Clair-Detroit,Great Lakes Region,CN,2594.13
4100001,Ottawa-Stony,Western Lake Erie,Western Lake Erie,Great Lakes Region,"MI,OH",1812.32
4100002,Raisin,Western Lake Erie,Western Lake Erie,Great Lakes Region,"MI,OH",2753.31
4100003,St. Joseph,Western Lake Erie,Western Lake Erie,Great Lakes Region,"IN,MI,OH",2830.21
4100004,St. Marys,Western Lake Erie,Western Lake Erie,Great Lakes Region,"IN,OH",2054.15
4100005,Upper Maumee,Western Lake Erie,Western Lake Erie,Great Lakes Region,"IN,OH",1003.29
4100006,Tiffin,Western Lake Erie,Western Lake Erie,Great Lakes Region,"MI,OH",2013.99
4100007,Auglaize,Western Lake Erie,Western Lake Erie,Great Lakes Region,"IN,OH",4316.15
4100008,Blanchard,Western Lake Erie,Western Lake Erie,Great Lakes Region,OH,1999.4
4100009,Lower Maumee,Western Lake Erie,Western Lake Erie,Great Lakes Region,OH,2791.62
4100010,Cedar-Portage,Western Lake Erie,Western Lake Erie,Great Lakes Region,OH,2478.68
4100011,Sandusky,Western Lake Erie,Western Lake Erie,Great Lakes Region,OH,4714.6
4100012,Huron-Vermilion,Western Lake Erie,Western Lake Erie,Great Lakes Region,OH,1976.7
4100013,Huron,Western Lake Erie,Western Lake Erie,Great Lakes Region,MI,2378.31
4110001,Black-Rocky,Southern Lake Erie,Southern Lake Erie,Great Lakes Region,OH,2317.1
4110002,Cuyahoga,Southern Lake Erie,Southern Lake Erie,Great Lakes Region,OH,2101.57
4110003,Ashtabula-Chagrin,Southern Lake Erie,Southern Lake Erie,Great Lakes Region,"OH,PA",1625.24
4110004,Grand,Southern Lake Erie,Southern Lake Erie,Great Lakes Region,OH,1827.35
4120101,Chautauqua-Conneaut,Eastern Lake Erie,Lake Erie,Great Lakes Region,"NY,OH,PA",2204.47
4120102,Cattaraugus,Eastern Lake Erie,Lake Erie,Great Lakes Region,NY,1449.36
4120103,Buffalo-Eighteenmile,Eastern Lake Erie,Lake Erie,Great Lakes Region,NY,1850.05
4130001,Oak Orchard-Twelvemile,Southwestern Lake Ontario,Southwestern Lake Ontario,Great Lakes Region,"CN,NY",2655.77
4130002,Upper Genesee,Southwestern Lake Ontario,Southwestern Lake Ontario,Great Lakes Region,"NY,PA",3691.94
4130003,Lower Genesee,Southwestern Lake Ontario,Southwestern Lake Ontario,Great Lakes Region,NY,2763.57
4140101,Irondequoit-Ninemile,Southeastern Lake Ontario,Southeastern Lake Ontario,Great Lakes Region,NY,1803.92
4140102,Salmon-Sandy,Southeastern Lake Ontario,Southeastern Lake Ontario,Great Lakes Region,NY,2540.24
4140201,Seneca,Oswego,Southeastern Lake Ontario,Great Lakes Region,NY,8961.04
4140202,Oneida,Oswego,Southeastern Lake Ontario,Great Lakes Region,NY,3879.35
4140203,Oswego,Oswego,Southeastern Lake Ontario,Great Lakes Region,NY,376.62
4140301,Black,Northeastern Lake Ontario,Southeastern Lake Ontario,Great Lakes Region,NY,4939.5
4140302,Chaumont-Perch,Northeastern Lake Ontario,Southeastern Lake Ontario,Great Lakes Region,NY,841.09
4160001,Dog River-Frontal Lake Superior,Northwestern Lake Superior,Northwestern Lake Superior,Great Lakes Region,CN,8896.19
4160002,Black Sturgeon River-Frontal Lake Superior,Northwestern Lake Superior,Northwestern Lake Superior,Great Lakes Region,CN,5088.95539
4160003,Nipigon River,Northwestern Lake Superior,Northwestern Lake Superior,Great Lakes Region,CN,25217.87
4160004,Jackpine River-Frontal Lake Superior,Northwestern Lake Superior,Northwestern Lake Superior,Great Lakes Region,CN,1826.540328
4170001,Little Pic River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,4882.45
4170002,Pic River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,6766.73
4170003,White River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,7496.71
4170004,Magpie River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,9360.34944
4170005,Agawa River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,5656.89
4170006,Goulais River-Frontal Lake Superior,Northeastern Lake Superior,Northeastern Lake Superior,Great Lakes Region,CN,4730.04
4180000,Lake Superior,Lake Superior,Lake Superior,Great Lakes Region,"CN,MI,MN,WI",84944.11
4190000,Lake Michigan,Lake Michigan,Lake Michigan,Great Lakes Region,"IL,IN,MI,WI",58249.47
4200001,Carp-Pine,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,MI,1682.31
4200002,St. Marys,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,"CN,MI",4947.88
4200003,Gordon Lake,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,975.07
4200004,Upper Mississagi River,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,5804.59
4200005,Lower Mississagi River,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,3540.41
4200006,Serpent River-Frontal Lake Huron,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,2647.480285
4200007,Vermillion River,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,4392.610568
4200008,Spanish River-Frontal Lake Huron,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,9475.571004
4200009,Killarney Lake-Frontal Lake Huron,Northern Lake Huron,Northern Lake Huron,Great Lakes Region,CN,1795.933069
4210001,Upper Wanapitei River,Wanipitai River-French River,Wanipitai River-French River,Great Lakes Region,CN,2548.061158
4210002,Lower Wanapitei River,Wanipitai River-French River,Wanipitai River-French River,Great Lakes Region,CN,1220.925345
4210003,Sturgeon River,Wanipitai River-French River,Wanipitai River-French River,Great Lakes Region,CN,6920.888721
4210004,French River-Frontal Lake Huron,Wanipitai River-French River,Wanipitai River-French River,Great Lakes Region,CN,8832.351505
4220001,Magnetawan River-Frontal Lake Huron,Eastern Georgia Bay,Eastern Georgia Bay,Great Lakes Region,CN,5744.45
4220002,Lake Muskoka-Frontal Lake Huron,Eastern Georgia Bay,Eastern Georgia Bay,Great Lakes Region,CN,5546.67
4220003,Severn River-Lake Simcoe,Eastern Georgia Bay,Eastern Georgia Bay,Great Lakes Region,CN,6025.46
4220004,Nottawasaga River-Frontal Lake Huron,Eastern Georgia Bay,Eastern Georgia Bay,Great Lakes Region,CN,4247.21
4230001,Eugenia Lake-Frontal Lake Huron,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,1807.64
4230002,Bruce Peninsula-Frontal Lake Huron,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,1793.955794
4230003,Saugeen River,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,4015.32
4230004,Penetangore River-Frontal Lake Huron,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,1149.851579
4230005,Maitland River-Frontal Lake Huron,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,2636.515768
4230006,Ausable River-Frontal Lake Huron,Eastern Lake Huron,Eastern Lake Huron,Great Lakes Region,CN,3043.4
